accession,start,end,type,strain_id,doi,feature,locus,id,predicted_function
AE017341.1,1272000,1280000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_07819,CNAG_07819-mR_1-CD3,n/a
AE017341.1,1272000,1280000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_07819,CNAG_07819-mR_1-ex1,n/a
AE017341.1,1272000,1280000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_07819,CNAG_07819-mR_1-ex3,n/a
AE017341.1,1272000,1280000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,five_prime_UTR,CNAG_07819,CNAG_07819-mR_1-fi1,n/a
AE017341.1,1272000,1280000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,gene,CNAG_00499,CNAG_00499,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29"
AE017341.1,1272000,1280000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,gene,CNAG_05212,CNAG_05212,hypothetical protein
AE017341.1,1272000,1280000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,gene,CNAG_07819,CNAG_07819,hypothetical protein
AE017341.1,1272000,1280000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,gene,CNAG_08020,CNAG_08020,hypothetical protein
AE017341.1,2110000,2116000,DUPLICATION,"MCM 113 - C, MCM 119",256,gene,CNAG_02776,CNAG_02776,hypothetical protein
AE017341.1,2110000,2116000,DUPLICATION,"MCM 113 - C, MCM 119",256,gene,CNAG_07523,CNAG_07523,hypothetical protein
AE017341.1,2110000,2116500,DUPLICATION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 125 - B, MCM 125 - C",0,gene,CNAG_02776,CNAG_02776,hypothetical protein
AE017341.1,2110000,2116500,DUPLICATION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 125 - B, MCM 125 - C",0,gene,CNAG_07523,CNAG_07523,hypothetical protein
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06739,CNAG_06739-mR_1-CD1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06739,CNAG_06739-mR_1-CD2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06739,CNAG_06739-mR_1-CD3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06739,CNAG_06739-mR_1-CD5,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06739,CNAG_06739-mR_1-CD6,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06739,CNAG_06739-mR_1-CD7,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06739,CNAG_06739-mR_1-CD8,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06739,CNAG_06739-mR_1-CD9,n/a
